video,embryo,t,t_next,shift_um,dz,dy,dx,gt_links,gt_median_shift_um,gt_dz,heldout
6bba_f17befbc,6bba,35,36,51.6,0.1,0.0,-51.6,0,,,False
6bba_b693381b,6bba,67,68,49.2,49.1,-1.0,-0.2,0,,,False
6bba_062c8d37,6bba,40,41,49.0,49.0,-1.0,-0.5,0,,,False
6bba_3fda6b25,6bba,1,2,47.8,47.8,-0.1,-0.2,3,2.0,0.0,False
6bba_4f99ce20,6bba,62,63,47.8,47.7,-2.7,-0.3,0,,,False
6bba_f1fde7e0,6bba,86,87,47.1,-47.1,0.1,0.0,0,,,False
6bba_bb9f20c3,6bba,3,4,47.0,47.0,-0.6,-0.1,0,,,False
6bba_f1fde7e0,6bba,87,88,47.0,47.0,-2.5,-0.2,0,,,False
6bba_f17befbc,6bba,36,37,46.8,46.8,-1.6,0.3,0,,,False
6bba_f20478e9,6bba,65,66,45.9,45.8,-2.0,-0.2,4,57.7,-57.7,False
6bba_7f87b3d8,6bba,85,86,45.8,45.7,-1.2,-0.1,0,,,False
6bba_ebdf3b34,6bba,10,11,44.3,44.3,-0.6,0.2,0,,,False
44b6_e29f0176,44b6,40,41,18.2,7.6,7.8,-14.5,1,18.7,4.9,False
6bba_78a7bd97,6bba,70,71,15.7,0.3,15.0,4.6,4,6.6,-1.6,False
44b6_d754aa59,44b6,55,56,15.3,0.3,13.7,-6.8,1,15.4,1.6,True
6bba_3db54e20,6bba,36,37,14.5,-0.1,14.5,0.3,0,,,False
6bba_e5e44988,6bba,53,54,14.0,-5.5,11.7,-5.3,8,13.4,-5.7,False
44b6_e29f0176,44b6,37,38,13.2,3.5,9.4,-8.5,1,13.1,3.2,False
6bba_d5eae175,6bba,1,2,12.6,-7.4,10.2,-0.2,0,,,False
44b6_cf8fed6b,44b6,60,61,12.5,0.4,0.6,-12.5,2,13.8,3.2,False
6bba_0c7fa718,6bba,51,52,12.4,2.7,-3.9,-11.4,1,9.9,3.2,False
6bba_3abfe10a,6bba,50,51,12.3,0.1,11.4,4.7,1,11.2,1.6,True
44b6_f28707c6,44b6,56,57,12.1,2.8,-11.6,1.9,1,12.8,3.2,False
44b6_f28707c6,44b6,57,58,11.8,0.7,10.7,-4.9,1,13.0,3.2,False
6bba_fe670320,6bba,41,42,11.8,-0.1,11.8,-0.4,0,,,False
6bba_0c7fa718,6bba,26,27,11.6,0.5,-1.7,-11.5,1,9.4,1.6,False
6bba_5a4d9360,6bba,98,99,11.6,-8.7,7.6,-0.4,1,9.5,-3.2,False
44b6_668e0cc7,44b6,23,24,11.5,0.7,0.4,-11.4,5,13.1,3.2,False
6bba_6db0e9b4,6bba,7,8,11.5,-5.3,9.7,3.1,0,,,False
44b6_33b596bf,44b6,13,14,11.4,0.2,-11.4,0.7,0,,,False
44b6_c15fded2,44b6,22,23,11.3,2.5,-10.8,2.0,2,11.6,3.2,False
6bba_4f99ce20,6bba,12,13,11.0,-0.4,-5.4,-9.6,5,9.5,0.0,False
44b6_33b596bf,44b6,14,15,10.8,0.1,10.2,-3.7,0,,,False
44b6_87bba6c4,44b6,51,52,10.8,0.0,-10.8,0.2,2,10.8,0.8,False
44b6_c15fded2,44b6,26,27,10.8,4.0,2.0,-9.8,2,11.5,4.9,False
6bba_a5e926bb,6bba,85,86,10.8,-8.7,-0.1,-6.5,6,7.8,-5.7,False
44b6_2f31fc2f,44b6,27,28,10.7,0.1,-10.7,0.1,1,10.3,-1.6,False
44b6_c15fded2,44b6,23,24,10.7,0.9,9.2,-5.4,2,13.0,4.1,False
44b6_f28707c6,44b6,60,61,10.7,3.7,4.2,-9.2,1,9.8,3.2,False
44b6_d29c9ab2,44b6,53,54,10.6,3.2,0.6,-10.0,14,10.3,3.2,False
6bba_78a7bd97,6bba,66,67,10.6,0.2,10.1,3.1,9,9.4,3.2,False
6bba_7f87b3d8,6bba,77,78,10.3,-6.4,-8.1,-0.1,7,8.2,-4.9,False
44b6_d754aa59,44b6,52,53,10.2,0.1,9.6,-3.4,1,9.7,0.0,True
6bba_a5e926bb,6bba,47,48,10.2,-5.9,0.1,-8.3,8,8.4,-4.1,False
44b6_f28707c6,44b6,55,56,10.1,0.1,-10.1,0.5,1,8.7,0.0,False
6bba_0c7fa718,6bba,18,19,10.1,0.3,-3.6,-9.4,8,8.1,0.8,False
6bba_7f87b3d8,6bba,33,34,10.1,-5.4,-3.0,-8.0,12,8.5,-4.9,False
44b6_33b596bf,44b6,12,13,10.0,-0.2,-10.0,0.3,0,,,False
44b6_2f31fc2f,44b6,28,29,9.9,0.0,9.8,-0.7,1,10.6,-1.6,False
44b6_e29f0176,44b6,36,37,9.9,2.9,-7.8,5.3,1,10.5,4.9,False
6bba_3abfe10a,6bba,46,47,9.6,0.3,9.1,3.0,2,8.9,2.4,True
6bba_767a1e17,6bba,56,57,9.6,9.0,2.9,1.5,0,,,False
6bba_b693381b,6bba,53,54,9.5,0.5,-5.2,-7.9,7,8.7,3.2,False
6bba_3abfe10a,6bba,34,35,9.4,0.2,8.1,4.7,2,11.0,4.9,True
44b6_87bba6c4,44b6,50,51,9.3,-0.1,-9.3,-0.3,3,9.6,-1.6,False
44b6_c15fded2,44b6,21,22,9.3,0.0,-9.2,1.3,1,8.6,0.0,False
6bba_0c7fa718,6bba,63,64,9.2,-0.5,-3.2,-8.6,6,8.5,-1.6,False
6bba_767a1e17,6bba,3,4,9.2,0.1,0.1,9.2,0,,,False
6bba_7f87b3d8,6bba,8,9,9.2,-4.6,-1.9,-7.8,7,8.8,-4.9,False
44b6_3a861e03,44b6,41,42,9.1,3.0,0.3,-8.6,9,8.7,1.6,False
6bba_0c7fa718,6bba,24,25,8.8,0.7,-3.0,-8.3,4,7.4,1.6,False
6bba_b693381b,6bba,15,16,8.8,0.3,-3.1,-8.3,10,8.6,1.6,False
44b6_267148e4,44b6,10,11,8.7,-5.1,-1.6,-6.9,2,9.2,-4.9,False
44b6_33b596bf,44b6,17,18,8.7,1.5,3.3,-7.9,0,,,False
44b6_d29c9ab2,44b6,50,51,8.7,-0.4,6.8,-5.5,12,9.8,-1.6,False
44b6_d754aa59,44b6,51,52,8.7,0.1,-8.5,2.0,1,9.3,1.6,True
6bba_fe670320,6bba,2,3,8.6,-0.1,8.6,-0.1,3,8.6,0.0,False
44b6_d754aa59,44b6,53,54,8.5,-0.3,8.0,2.9,1,8.8,-1.6,True
6bba_0c7fa718,6bba,40,41,8.5,1.8,-3.0,-7.8,8,7.6,1.6,False
6bba_b693381b,6bba,22,23,8.5,0.3,-3.3,-7.8,10,7.1,1.6,False
44b6_668e0cc7,44b6,20,21,8.4,-0.1,6.3,-5.5,5,9.1,-1.6,False
6bba_b693381b,6bba,29,30,8.4,-0.1,-3.3,-7.7,12,7.8,0.0,False
6bba_e5e44988,6bba,85,86,8.4,-4.4,7.1,0.2,1,10.4,-6.5,False
6bba_0c7fa718,6bba,38,39,8.3,0.5,-0.9,-8.3,7,6.5,0.0,False
6bba_a5e926bb,6bba,55,56,8.3,-4.8,0.0,-6.7,2,9.4,-4.9,False
44b6_267148e4,44b6,48,49,8.2,-0.1,8.1,-1.2,3,7.4,0.0,False
44b6_3a861e03,44b6,38,39,8.0,-0.6,6.7,-4.3,10,8.4,-1.6,False
44b6_cf8fed6b,44b6,57,58,8.0,-0.4,5.6,-5.7,2,7.5,-0.8,False
6bba_6feeb0b1,6bba,77,78,8.0,-0.4,7.9,-0.4,13,5.2,-1.6,False
6bba_acd782a8,6bba,95,96,8.0,-7.3,0.5,-3.4,12,7.3,-6.5,False
6bba_cdcfe533,6bba,75,76,8.0,5.2,-3.3,-5.0,18,8.1,4.9,False
44b6_d754aa59,44b6,36,37,7.9,-0.1,7.9,0.2,1,8.1,0.0,True
6bba_b693381b,6bba,59,60,7.9,5.0,-5.1,-3.4,7,7.7,4.9,False
6bba_ebdf3b34,6bba,85,86,7.9,-7.9,-0.1,0.1,6,8.2,-8.1,False
44b6_0113de3b,44b6,50,51,7.8,3.9,0.1,-6.7,1,7.8,4.9,False
6bba_0c7fa718,6bba,19,20,7.8,2.8,-2.2,-6.9,6,6.8,1.6,False
6bba_f20478e9,6bba,4,5,7.8,-3.7,-2.8,-6.3,7,6.6,-1.6,False
44b6_c8e2a523,44b6,5,6,7.7,3.3,0.3,-7.0,3,8.8,3.2,False
6bba_0c7fa718,6bba,47,48,7.7,1.7,-2.3,-7.2,8,6.8,1.6,False
6bba_3abfe10a,6bba,24,25,7.7,0.2,6.1,4.6,2,8.4,0.8,True
6bba_789f8168,6bba,39,40,7.7,-0.1,-0.8,-7.6,7,8.8,-1.6,False
6bba_d3da753b,6bba,79,80,7.7,-7.1,0.0,-2.9,8,7.0,-6.5,False
6bba_f1fde7e0,6bba,6,7,7.7,-0.9,-1.4,-7.5,3,7.3,-1.6,False
44b6_cf8fed6b,44b6,56,57,7.6,0.2,-4.4,6.2,2,6.2,0.8,False
44b6_e29f0176,44b6,68,69,7.6,0.0,5.8,-4.9,1,7.6,1.6,False
44b6_e57ff5c6,44b6,18,19,7.6,-0.1,7.6,0.0,1,9.7,-3.2,True
6bba_0c7fa718,6bba,45,46,7.6,1.0,-2.5,-7.1,10,7.5,1.6,False
6bba_0c7fa718,6bba,69,70,7.6,0.1,-0.4,-7.6,8,5.6,0.0,False
6bba_87289e13,6bba,27,28,7.5,-6.8,-1.6,-2.8,9,7.2,-6.5,False
44b6_267148e4,44b6,29,30,7.4,-0.0,7.4,0.0,3,6.7,1.6,False
44b6_a21120c2,44b6,10,11,7.4,-3.6,-1.1,6.3,4,8.1,-4.9,False
44b6_d754aa59,44b6,50,51,7.4,-0.3,-7.3,0.2,1,6.3,-1.6,True
44b6_e29f0176,44b6,39,40,7.3,4.7,5.3,-1.7,1,8.8,6.5,False
6bba_a5e926bb,6bba,7,8,7.3,-5.6,-0.2,-4.6,10,6.9,-4.9,False
44b6_33b596bf,44b6,15,16,7.2,-0.3,-7.0,-1.7,0,,,False
44b6_f28707c6,44b6,22,23,7.2,-0.2,-7.1,-1.0,1,7.2,0.0,False
6bba_4f99ce20,6bba,1,2,7.2,0.0,-3.0,-6.5,9,6.8,-1.6,False
6bba_5a4d9360,6bba,92,93,7.2,-5.4,4.8,-0.2,5,5.2,-3.2,False
6bba_a5e926bb,6bba,69,70,7.2,-5.4,-1.3,-4.6,6,5.3,-3.2,False
44b6_668e0cc7,44b6,19,20,7.1,0.0,-2.4,6.6,5,7.3,0.0,False
44b6_f28707c6,44b6,59,60,7.1,3.3,6.2,0.1,1,6.6,3.2,False
6bba_7f87b3d8,6bba,3,4,7.1,-1.4,-1.7,-6.7,9,6.9,-1.6,False
6bba_a5e926bb,6bba,31,32,7.1,-5.2,-0.1,-4.9,11,5.9,-3.2,False
6bba_e5e44988,6bba,74,75,7.1,-0.1,7.1,-0.0,4,11.1,-5.7,False
6bba_f20478e9,6bba,57,58,7.1,-0.2,-7.1,-0.3,8,7.7,-1.6,False
44b6_267148e4,44b6,44,45,7.0,0.2,-7.0,0.1,3,6.7,1.6,False
44b6_c8e2a523,44b6,2,3,7.0,-0.4,6.6,-2.2,3,7.3,-1.6,False
44b6_267148e4,44b6,13,14,6.9,-5.3,-0.1,4.4,2,7.4,-4.9,False
44b6_d754aa59,44b6,37,38,6.9,-0.2,-6.3,-2.9,1,7.3,-3.2,True
6bba_7f87b3d8,6bba,4,5,6.9,-2.9,-1.2,-6.2,9,7.1,-3.2,False
6bba_a5e926bb,6bba,53,54,6.9,-4.7,0.0,-5.1,5,7.6,-4.9,False
6bba_a5e926bb,6bba,67,68,6.9,-4.8,0.0,-5.0,5,5.5,-3.2,False
6bba_d3da753b,6bba,80,81,6.9,4.6,1.2,-4.9,9,7.2,4.9,False
44b6_0113de3b,44b6,47,48,6.8,-0.2,6.5,-2.1,1,6.1,0.0,False
44b6_f28707c6,44b6,51,52,6.8,-0.0,-6.6,-1.5,1,8.1,1.6,False
6bba_05db0fb1,6bba,92,93,6.8,-6.8,0.2,0.3,9,6.6,-6.5,False
6bba_3db54e20,6bba,20,21,6.8,-0.2,6.0,3.1,7,6.5,-3.2,False
6bba_4f99ce20,6bba,38,39,6.8,0.1,-4.9,-4.7,5,5.8,1.6,False
6bba_b204cac7,6bba,50,51,6.8,6.8,-0.0,-0.2,9,6.5,6.5,False
6bba_d5eae175,6bba,69,70,6.8,-6.8,-0.3,-0.2,7,4.9,-4.9,False
44b6_267148e4,44b6,45,46,6.7,-0.2,6.7,-0.3,3,6.7,-1.6,False
44b6_3a861e03,44b6,37,38,6.7,0.5,-5.8,3.3,10,6.9,0.8,False
44b6_e57ff5c6,44b6,32,33,6.7,-0.2,-6.7,-0.2,3,7.5,-1.6,True
44b6_f28707c6,44b6,42,43,6.7,0.1,-6.5,-1.8,1,6.9,1.6,False
44b6_f28707c6,44b6,58,59,6.7,0.0,-6.7,-0.8,1,8.4,0.0,False
6bba_0c7fa718,6bba,20,21,6.7,0.6,-1.4,-6.5,6,6.7,1.6,False
6bba_767a1e17,6bba,54,55,6.7,4.5,1.6,4.6,0,,,False
6bba_bb9f20c3,6bba,78,79,6.7,-6.7,0.1,-0.1,17,6.5,-6.5,False
44b6_0db75fae,44b6,16,17,6.6,0.5,-6.6,0.0,1,7.6,3.2,False
44b6_267148e4,44b6,46,47,6.6,-0.3,4.5,4.9,3,6.4,-1.6,False
44b6_587a1e22,44b6,55,56,6.6,3.0,-5.8,0.5,6,7.3,3.2,False
44b6_d29c9ab2,44b6,49,50,6.6,0.3,-4.7,4.6,12,6.8,0.0,False
6bba_2540cd90,6bba,20,21,6.6,6.6,-0.0,-0.0,6,6.5,6.5,False
6bba_3db54e20,6bba,42,43,6.6,-0.2,6.0,2.6,3,6.6,0.0,False
6bba_3db54e20,6bba,44,45,6.6,0.3,6.6,0.4,4,8.0,1.6,False
6bba_718b21f9,6bba,25,26,6.6,6.6,0.0,-0.2,8,6.5,6.5,False
6bba_f20478e9,6bba,2,3,6.6,-3.6,-0.1,-5.6,7,6.4,-3.2,False
44b6_d754aa59,44b6,20,21,6.5,-5.8,0.5,2.9,1,5.7,-4.9,True
6bba_786893ac,6bba,18,19,6.5,-6.5,-0.6,-0.2,25,6.6,-6.5,False
6bba_786893ac,6bba,19,20,6.5,6.5,-0.3,0.2,23,6.5,6.5,False
6bba_7d3058ae,6bba,15,16,6.5,-6.5,-0.0,-0.0,10,6.6,-6.5,False
6bba_eebc57a5,6bba,4,5,6.5,6.5,0.3,0.0,10,6.5,6.5,False
44b6_33b596bf,44b6,8,9,6.4,-0.5,-6.1,-1.8,0,,,False
44b6_a21120c2,44b6,41,42,6.4,2.8,-5.0,2.8,3,6.3,3.2,False
44b6_a21120c2,44b6,42,43,6.4,-0.2,6.4,0.1,3,5.7,0.0,False
44b6_cf8fed6b,44b6,25,26,6.4,-6.2,-0.2,1.6,2,7.3,-6.5,False
6bba_09961292,6bba,38,39,6.4,-6.4,0.2,0.1,16,6.5,-6.5,False
6bba_15403b9a,6bba,68,69,6.4,-6.4,0.3,-0.4,5,6.9,-6.5,False
